font,px,bpp,compressed,rodata,glyphs,per_glyph
Inter-400,14,1,yes,4221,181,23.3
Inter-400,14,1,no,4221,181,23.3
Inter-400,14,2,yes,5552,181,30.7
Inter-400,14,2,no,6153,181,34.0
Inter-400,14,4,yes,8091,181,44.7
Inter-400,14,4,no,9583,181,52.9
Inter-400,16,1,yes,4570,181,25.2
Inter-400,16,1,no,4570,181,25.2
Inter-400,16,2,yes,6209,181,34.3
Inter-400,16,2,no,7013,181,38.7
Inter-400,16,4,yes,9172,181,50.7
Inter-400,16,4,no,11326,181,62.6
Inter-400,20,1,yes,5585,181,30.9
Inter-400,20,1,no,5585,181,30.9
Inter-400,20,2,yes,7398,181,40.9
Inter-400,20,2,no,8996,181,49.7
Inter-400,20,4,yes,11237,181,62.1
Inter-400,20,4,no,15228,181,84.1
Inter-400,24,1,yes,6806,181,37.6
Inter-400,24,1,no,6806,181,37.6
Inter-400,24,2,yes,8950,181,49.4
Inter-400,24,2,no,11481,181,63.4
Inter-400,24,4,yes,13882,181,76.7
Inter-400,24,4,no,20225,181,111.7
Inter-400,28,1,yes,8485,181,46.9
Inter-400,28,1,no,8485,181,46.9
Inter-400,28,2,yes,11317,181,62.5
Inter-400,28,2,no,15179,181,83.9
Inter-400,28,4,yes,17743,181,98.0
Inter-400,28,4,no,27624,181,152.6
Inter-400,36,1,yes,12023,181,66.4
Inter-400,36,1,no,12023,181,66.4
Inter-400,36,2,yes,14885,181,82.2
Inter-400,36,2,no,22464,181,124.1
Inter-400,36,4,yes,24202,181,133.7
Inter-400,36,4,no,42186,181,233.1
Inter-400,48,1,yes,19713,181,108.9
Inter-400,48,1,no,19713,181,108.9
Inter-400,48,2,yes,21695,181,119.9
Inter-400,48,2,no,38193,181,211.0
Inter-400,48,4,yes,34997,181,193.4
Inter-400,48,4,no,73684,181,407.1
NunitoSans-400,14,1,yes,8225,177,46.5
NunitoSans-400,14,1,no,8225,177,46.5
NunitoSans-400,14,2,yes,9405,177,53.1
NunitoSans-400,14,2,no,9932,177,56.1
NunitoSans-400,14,4,yes,11463,177,64.8
NunitoSans-400,14,4,no,12928,177,73.0
NunitoSans-400,16,1,yes,8543,177,48.3
NunitoSans-400,16,1,no,8543,177,48.3
NunitoSans-400,16,2,yes,9932,177,56.1
NunitoSans-400,16,2,no,10703,177,60.5
NunitoSans-400,16,4,yes,12455,177,70.4
NunitoSans-400,16,4,no,14493,177,81.9
NunitoSans-400,20,1,yes,9594,177,54.2
NunitoSans-400,20,1,no,9594,177,54.2
NunitoSans-400,20,2,yes,11203,177,63.3
NunitoSans-400,20,2,no,12795,177,72.3
NunitoSans-400,20,4,yes,14721,177,83.2
NunitoSans-400,20,4,no,18656,177,105.4
NunitoSans-400,24,1,yes,10723,177,60.6
NunitoSans-400,24,1,no,10723,177,60.6
NunitoSans-400,24,2,yes,12646,177,71.4
NunitoSans-400,24,2,no,15203,177,85.9
NunitoSans-400,24,4,yes,17176,177,97.0
NunitoSans-400,24,4,no,23486,177,132.7
NunitoSans-400,28,1,yes,12148,177,68.6
NunitoSans-400,28,1,no,12148,177,68.6
NunitoSans-400,28,2,yes,14309,177,80.8
NunitoSans-400,28,2,no,18104,177,102.3
NunitoSans-400,28,4,yes,19894,177,112.4
NunitoSans-400,28,4,no,29309,177,165.6
NunitoSans-400,36,1,yes,15658,177,88.5
NunitoSans-400,36,1,no,15658,177,88.5
NunitoSans-400,36,2,yes,18327,177,103.5
NunitoSans-400,36,2,no,25310,177,143.0
NunitoSans-400,36,4,yes,26578,177,150.2
NunitoSans-400,36,4,no,43691,177,246.8
NunitoSans-400,48,1,yes,22245,177,125.7
NunitoSans-400,48,1,no,22245,177,125.7
NunitoSans-400,48,2,yes,23845,177,134.7
NunitoSans-400,48,2,no,38801,177,219.2
NunitoSans-400,48,4,yes,35670,177,201.5
NunitoSans-400,48,4,no,70675,177,399.3
